Year,Week Number,Average
1919,21,99.80799999999999
1919,22,104.22
1919,23,106.28399999999999
1919,24,105.168
1919,25,103.708
1919,26,105.574
1919,27,108.39250000000001
1919,28,109.952
1919,29,111.34
1919,30,109.46400000000001
1919,31,108.944
1919,32,102.73600000000002
1919,33,103.686
1919,34,99.81000000000002
1919,35,102.918
1919,36,107.50999999999999
1919,37,107.39750000000001
1919,38,107.474
1919,39,107.196
1919,40,110.59
1919,41,113.19199999999998
1919,42,112.69500000000001
1919,43,115.824
1919,44,116.97200000000001
1919,45,118.265
1919,46,110.402
1919,47,107.72200000000001
1919,48,107.275
1919,49,105.91599999999998
1919,50,106.08599999999998
1919,51,105.468
1919,52,104.23
1920,1,108.76
1920,2,107.518
1920,3,103.26199999999999
1920,4,102.61600000000001
1920,5,103.93199999999999
1920,6,98.28999999999999
1920,7,92.79249999999999
1920,8,94.064
1920,9,91.37750000000001
1920,10,92.966
1920,11,98.46000000000001
1920,12,102.138
1920,13,102.644
1920,14,102.5375
1920,15,104.756
1920,16,104.574
1920,17,97.97800000000001
1920,18,95.012
1920,19,94.066
1920,20,91.85799999999999
1920,21,89.23400000000001
1920,22,90.128
1920,23,90.9125
1920,24,91.954
1920,25,91.71000000000001
1920,26,90.828
1920,27,91.006
1920,28,93.995
1920,29,91.014
1920,30,90.342
1920,31,87.41
1920,32,84.938
1920,33,84.38199999999999
1920,34,84.902
1920,35,86.80600000000001
1920,36,86.84
1920,37,87.9125
1920,38,88.19999999999999
1920,39,87.332
1920,40,83.826
1920,41,85.208
1920,42,84.7525
1920,43,84.77600000000001
1920,44,85.19
1920,45,84.60000000000001
1920,46,79.916
1920,47,75.194
1920,48,76.63250000000001
1920,49,76.62
1920,50,75.292
1920,51,70.982
1920,52,68.16599999999998
1920,53,69.43
1921,1,73.616
1921,2,75.386
1921,3,75.62
1921,4,75.376
1921,5,75.13400000000001
1921,6,75.4
1921,7,76.626
1921,8,75.1625
1921,9,75.04400000000001
1921,10,74.124
1921,11,74.76
1921,12,76.95
1921,13,76.21199999999999
1921,14,75.934
1921,15,75.92
1921,16,76.5
1921,17,78.57199999999999
1921,18,79.64
1921,19,78.114
1921,20,77.08399999999999
1921,21,74.73400000000001
1921,22,73.095
1921,23,70.708
1921,24,68.962
1921,25,65.788
1921,26,68.03799999999998
1921,27,68.91
1921,28,68.228
1921,29,68.14
1921,30,68.946
1921,31,69.49
1921,32,67.328
1921,33,65.73599999999999
1921,34,64.446
1921,35,67.184
1921,36,69.58500000000001
1921,37,71.142
1921,38,70.078
1921,39,70.672
1921,40,70.82000000000001
1921,41,70.765
1921,42,70.24999999999999
1921,43,72.57600000000001
